Jobtitle,City,Date,Skills,Salary,Candidates,Copy
técnicos de redes y seguridad,Madrid,2022-09-30,"['redes', 'seguridad']",34500.0,10,2022-10-02
project manager análisis de datos,Madrid,2022-09-30,"['analisis de datos', 'data analyst']",no disponible,13,2022-10-02
project manager junio,Sta. Cruz De Tenerife,2022-09-30,"['bbdd', 'project manager']",no disponible,75,2022-10-02
programadores java senior remoto 100%,Online,2022-09-30,"['kubernetes', 'mongo db', 'git', 'sql', 'java', 'redis', 'spring']",30000.0,9,2022-10-02
programador .net / angula,Madrid,2022-09-30,"['.net', 'ingles', 'pl/sql', 'angularjs', 'c#']",no disponible,4,2022-10-02
técnico informático,Madrid,2022-09-30,"['windows', 'ticketing']",16500.0,10,2022-10-02
analista programador bi,Sta. Cruz De Tenerife,2022-09-30,"['pentaho data integration', 'cmi', 'apache hop', 'bi', 'sql', 'etl']",30000.0,2,2022-10-02
analista programador spark / scala,Online,2022-09-30,"['scala', 'spark']",33000.0,9,2022-10-02
team leader-senior software kotli,Online,2022-09-30,"['aws', 'ios', 'devops', 'kubernetes', 'azure', 'kotlin']",51000.0,6,2022-10-02
consultor sap fico,Madrid,2022-09-30,"['sap', 'central finance', 's4h finance', 'abap']",48000.0,8,2022-10-02
beca developer/desarrollador microsof,Gipuzkoa,2022-09-30,"['sql', 'c#', 'javascript', '.net']",no disponible,132,2022-10-02
tã©cnico de sistemas,Valencia,2022-09-30,"['san', 'linux', 'windows', 'hyper v', 'nfs', 'vmware', 'azure', 'iscsi']",no disponible,80,2022-10-02
desarrollador senior java remoto,Online,2022-09-30,['java'],no disponible,11,2022-10-02
administradores control-m inglés,Madrid,2022-09-30,['control m'],45000.0,10,2022-10-02
programador cobol/400,Madrid,2022-09-30,"['cobol/400', 'as/400']",no disponible,10,2022-10-02
frontend developer senio,Madrid,2022-09-30,"['cypress.io', 'java', 'vuejs']",40500.0,4,2022-10-02
administrador/a de sistemas linux,Online,2022-09-30,"['linux', 'red hat', 'hp ux']",34500.0,20,2022-10-02
técnico sistemas junior linux/windows,Barcelona,2022-09-30,"['linux', 'terraform', 'windows']",31500.0,24,2022-10-02
lead ios,Online,2022-09-30,['ios'],43500.0,9,2022-10-02
ingeniero/a redes,Madrid,2022-09-30,"['balanceadores', 'cisco', 'firewalls']",37500.0,8,2022-10-02
técnico/a soporte a usuarios,Madrid,2022-09-30,"['active directory', 'sistemas operativos']",no disponible,133,2022-10-02
senior .net pl/sql con manejo en boo,Online,2022-09-30,"['sharepoint', '.net', 'pl/sql', 'azure', 'c#']",no disponible,8,2022-10-02
programador php,Online,2022-09-30,"['php', 'symfony']",no disponible,34,2022-10-02
desarrollador .n,Madrid,2022-09-30,"['.net', 'c#']",no disponible,1,2022-10-02
consultor cloud (100% remoto),Badajoz,2022-09-30,"['aws', 'datacenter', 'cloud', 'azure']",no disponible,5,2022-10-02
fullstack .net y reac,Madrid,2022-09-30,"['reactjs', '.net']",no disponible,0,2022-10-02
java develop,Bizkaia,2022-09-30,"['java', 'liferay']",no disponible,0,2022-10-02
