Jobtitle,City,Date,Skills,Salary,Candidates,Copy
consultor infraestructura virtualizada,Pontevedra,2022-11-17,"['nutanix', 'linux', 'windows', 'hiperconvergencia', 'azure']",43500.0,21,2022-11-27
consultor powerbi,Barcelona,2022-09-30,['power bi'],no disponible,7,2022-11-27
"analista java, .net y php remoto",Online,2022-11-25,"['nexus', 'jboss', 'sonar', 'tomcat', 'java', 'jenkins', 'php', 'oracle', '.net']",37500.0,11,2022-11-27
técnicos de sopo,Madrid,2022-11-25,"['ms office', 'windows']",13500.0,44,2022-11-27
frontend developer with react [remote],Barcelona,2022-09-30,['reactjs'],31500.0,196,2022-11-27
java developer [remote spain],Online,2022-09-30,['java'],31500.0,128,2022-11-27
business analys,Madrid,2022-11-25,"['data lake', 'python', 'spark', 'sql', 'vsc']",34500.0,3,2022-11-27
recruiter it,Madrid,2022-11-25,"['office', 'sap']",no disponible,0,2022-11-27
programmer analyst (100% remoto),Online,2022-11-11,"['python', 'java', 'sql', 'angularjs']",39000.0,43,2022-11-27
rf ingeniero de optimización de radio,Online,2022-10-21,"['2g', '5g', 'radio', '3g', '4g']",no disponible,38,2022-11-27
desarrollador/a java spring y absis2,Online,2022-11-25,"['java', 'spring', 'absis2']",28500.0,2,2022-11-27
scrum mas,Madrid,2022-11-25,"['scrum master', 'jira']",no disponible,5,2022-11-27
programador/a cobol microfocus- híbrido,Madrid,2022-11-25,"['cobol', 'microfocus', 'cics', 'partenon', 'mq', 'gipih', 'db2']",31500.0,55,2022-11-27
técnico/a microinformático (con fp),Madrid,2022-11-19,"['office', 'windows']",no disponible,33,2022-11-27
jefe técnico,Córdoba,2022-11-25,"['inventor', 'autocad']",no disponible,1,2022-11-27
administrador de sistemas,Madrid,2022-11-25,"['wintel', 'hyper v', 'lan', 'vmware', 'wlan', 'vlan']",no disponible,2,2022-11-27
programador cobol/unix,Madrid,2022-11-25,"['unix', 'cobol']",no disponible,3,2022-11-27
técnico de comunicaciones y seguridad,Madrid,2022-09-29,"['dns', 'cisco', 'dhcp', 'firewalls']",no disponible,117,2022-11-27
programador php/drupal,Madrid,2022-10-28,"['drupal', 'jquery', 'mysql', 'php', 'css', 'javascript']",28500.0,36,2022-11-27
programadores php,Online,2022-11-25,"['apache', 'linux', 'sql server', 'git', 'jquery', 'jenkins', 'soap rest', 'oracle', 'php', 'javascript']",25500.0,32,2022-11-27
data warehouse engi,Online,2022-11-25,['data'],64000.0,1,2022-11-27
comercial tecnológico,Madrid,2022-11-25,"['datastudio', 'power bi']",no disponible,0,2022-11-27
head of digital,Online,2022-11-25,"['seo', 'sem', 'marketing digital']",no disponible,1,2022-11-27
qa lead automated testi,Online,2022-11-20,"['mantis', 'qa', 'katalon', 'testing']",no disponible,5,2022-11-27
analista programador .net,Madrid,2022-11-11,"['sql', 'c#', '.net', 'vb']",no disponible,9,2022-11-27
desarrollador python / php (h/m/d),Zaragoza,2022-11-25,"['python', 'php']",no disponible,2,2022-11-27
responsable marketing digital,Madrid,2022-11-25,['marketing'],no disponible,1,2022-11-27
qa tester agil,Online,2022-11-11,"['tester', 'qa', 'selenium', 'cucumber', 'agile']",no disponible,17,2022-11-27
adm. de sistemas microsoft .n,Online,2022-10-23,"['microsoft', '.net']",no disponible,18,2022-11-27
senior developer / arquitecto frontend,Madrid,2022-11-25,"['javascript', 'angularjs']",no disponible,0,2022-11-27
it suppo,Madrid,2022-11-25,"['python', 'bash']",30000.0,3,2022-11-27
analista programador backend,Online,2022-11-25,"['devops', 'pl/sql', 'microservicios', 'java', 'azure', 'oracle']",31500.0,7,2022-11-27
desarrollador fullstack java + angula,Online,2022-10-21,"['soap', 'sql oracle', 'xml', 'angularjs', 'api', 'java', '.net', 'xsl']",27000.0,18,2022-11-27
qa tester (100% remoto),Online,2022-11-18,"['qa', 'tester']",no disponible,72,2022-11-27
arquitecto .net data base javascript sql,Madrid,2022-11-12,"['visual studio', 'sql', 'data', 'javascript', '.net']",no disponible,14,2022-11-27
programador/a pytho,Barcelona,2022-11-25,"['python', 'aws']",no disponible,0,2022-11-27
data engi,Madrid,2022-11-25,"['gcp', 'apache airflow', 'data']",no disponible,0,2022-11-27
programador/a pl/sql,Online,2022-11-25,"['sql', 'oracle', 'pl/sql']",no disponible,29,2022-11-27
técnico de sistemas unix/linux remoto,Online,2022-09-30,"['unix', 'linux']",no disponible,44,2022-11-27
técnico helpdesk/soporte telefónico,Madrid,2022-09-26,"['helpdesk', 'soporte']",17000.0,292,2022-11-27
analista programador java j2ee remoto,Online,2022-10-28,"['j2ee', 'maven', 'db2', 'jpa', 'sonar', 'angularjs', 'openshift', 'oracle', 'spring', 'reactjs', 'hibernate', 'rest', 'tomcat', 'eclipse', 'was', 'java', 'jquery', 'cloud', 'kafka', 'javascript']",no disponible,13,2022-11-27
analista funcional salesforce teletrabaj,Online,2022-11-11,['salesforce'],39000.0,13,2022-11-27
java developer (100% remoto),Online,2022-11-25,"['postgresql', 'java']",39000.0,11,2022-11-27
técnico junior gestión de incidencias,Madrid,2022-11-25,"['cyberark', 'pam', 'cloud', 'saas']",24000.0,6,2022-11-27
data solution architec,Barcelona,2022-11-25,"['jdbc', 'api', 'sql/plsql', 'data', 'azure', 'oracle', 'mdm']",49500.0,1,2022-11-27
senior data analytics,Online,2022-11-25,"['analytics', 'data']",42000.0,8,2022-11-27
analista técnico extranjero,Madrid,2022-10-21,"['cobol', 'db2', 'jcl']",31500.0,27,2022-11-27
qa tester banca,Madrid,2022-09-30,"['sql', 'qa', 'tester', 'alm']",22500.0,202,2022-11-27
junior software develop,Barcelona,2022-11-25,"['sql', 'java', 'typescript', 'css', 'javascript', 'html']",27000.0,47,2022-11-27
pmo / project management - modelo mixto,Barcelona,2022-11-25,"['crm', 'mba', 'sap', 'itil', 'pmo']",no disponible,5,2022-11-27
programador fullstack senio,Online,2022-09-29,"['reactjs', 'mongo db', 'elastic search', 'git', 'laravel', 'mysql', 'php', 'javascript']",31500.0,313,2022-11-27
programador fullstack - ecommerc,Online,2022-11-25,"['php', 'prestashop']",no disponible,365,2022-11-27
desarrollador/a .net + java,Sevilla,2022-09-30,"['java', '.net']",25500.0,147,2022-11-27
administrador/a directorio activo,Online,2022-10-14,"['active directory', 'sccm', 'exchange', 'wintel']",30000.0,110,2022-11-27
"desarrollador/a oracle, pl/sql",Online,2022-09-30,"['oracle', 'pl/sql']",25500.0,229,2022-11-27
functional analys,Sevilla,2022-11-25,"['analisis it', 'agile']",no disponible,2,2022-11-27
analista de datos (big data) teletrabajo,Online,2022-11-25,"['batch', 'big data']",no disponible,14,2022-11-27
service mana,Online,2022-11-25,"['itil', 'pmp']",no disponible,1,2022-11-27
ity develop,Online,2022-11-17,"['unirx', 'webgl', 'unity', 'xr']",21000.0,55,2022-11-27
administrador/a cloud (aws/azure),Online,2022-10-07,"['aws', 'cloud', 'azure']",25500.0,53,2022-11-27
desarrollador/tech lead (angular),Madrid,2022-11-25,['angularjs'],no disponible,0,2022-11-27
senior engineer spark,Madrid,2022-11-25,"['ci/cd', 'spark']",no disponible,0,2022-11-27
desarrollador javascrip,Madrid,2022-10-14,"['reactjs', 'nodejs', 'angularjs', 'javascript', 'rest', '.net']",34500.0,53,2022-11-27
programador senior java 100% remoto,Online,2022-11-25,"['sql', 'java', 'hibernate']",34500.0,7,2022-11-27
administrador sistemas linux (oracle),Barcelona,2022-11-25,"['oracle', 'linux']",34500.0,8,2022-11-27
técnico/a de soporte - windows,Murcia,2022-11-25,"['windows', 'ticketing', 'soporte', 'itil', 'microinformatica']",no disponible,32,2022-11-27
desarrollador java & spring - remoto,Online,2022-11-25,"['elk', 'json', 'api', 'java', 'mysql', 'spring']",28500.0,8,2022-11-27
programador .net senior (h/m),Online,2022-10-29,"['.net', 'docker']",36000.0,20,2022-11-27
desarrolladores/as vue,Online,2022-11-18,"['javascript', 'nodejs', 'vuejs']",no disponible,11,2022-11-27
"¡perfiles php! laravel, symfony",Online,2022-09-30,"['php', 'laravel', 'symfony']",no disponible,80,2022-11-27
"perfiles java, j2ee, spring, springboo",Online,2022-09-30,"['j2ee', 'java', 'spring']",no disponible,69,2022-11-27
project manager junio,Sta. Cruz De Tenerife,2022-11-16,"['linux', 'windows']",no disponible,143,2022-11-27
"delivery manager, sm y product ow",Online,2022-11-11,"['ecommerce', 'scrum', 'api']",no disponible,37,2022-11-27
"frontend developer js, typescript, css",A Coruña,2022-11-11,"['html', 'javascript', 'typescript', 'css']",no disponible,16,2022-11-27
desarrolladores/as node,Online,2022-11-11,['nodejs'],no disponible,19,2022-11-27
analista programador fullstack,Gipuzkoa,2022-11-18,"['java', 'vuejs']",no disponible,2,2022-11-27
analista programador .net pl/sql,Barcelona,2022-11-25,"['pl/sql', '.net']",no disponible,2,2022-11-27
nlp developer - 100% remoto,Online,2022-11-25,"['data science', 'python', 'natural', 'big data', 'inteligencia artificial', 'nlp']",33000.0,9,2022-11-27
analista programador cobol,Bizkaia,2022-11-25,['cobol'],no disponible,2,2022-11-27
desarrollador/a java,Asturias,2022-10-30,"['microservicios', 'sql', 'java', 'sprinboot', 'junit', 'spring']",no disponible,22,2022-11-27
desarrollador/a abap,Online,2022-11-20,['abap'],no disponible,10,2022-11-27
scrum master 100% remoto,Online,2022-11-11,"['scrum', 'ingles', 'java', 'oracle', 'agile']",43500.0,82,2022-11-27
técnico/a administrador/a middleware,Madrid,2022-09-30,"['distribuidos', 'middleware', 'app web']",40500.0,23,2022-11-27
desarroll. microservicios cloud - remoto,Online,2022-11-11,"['spring', 'jenkins', 'cloud', 'microservicios']",39000.0,5,2022-11-27
administrador/a kubernetes,Online,2022-09-30,"['kubernetes', 'azure', 'openshift']",42000.0,23,2022-11-27
técnico de soporte n2 (sustitución),Madrid,2022-11-25,"['virtualizacion', 'ticketing']",no disponible,16,2022-11-27
desarrollador/a .net senio,Online,2022-11-25,"['aws', 'visual basic', 'docker', 'sql', 'cucumber', 'nunit', '.net', 'tibco']",no disponible,14,2022-11-27
desarrollador java microservicios remoto,Online,2022-11-06,"['xml', 'microservicios', 'sql', 'java', 'css', 'rest', 'spring']",34500.0,17,2022-11-27
data science ia - 100% remoto,Online,2022-11-25,"['datascience', 'ia']",39000.0,42,2022-11-27
analista java/.net/php,Barcelona,2022-11-25,"['php', 'java', '.net']",34500.0,2,2022-11-27
técnico/a micro,Madrid,2022-11-25,"['ios', 'android', 'hardware', 'sistemas operativos']",no disponible,12,2022-11-27
devops specialis,Online,2022-11-25,"['serverless', 'terraform', 'jenkins', 'devops']",no disponible,1,2022-11-27
técnico informático,Madrid,2022-11-25,"['apple', 'windows']",16500.0,29,2022-11-27
especialista en digital marketi,Gipuzkoa,2022-11-25,"['seo', 'sem']",no disponible,19,2022-11-27
desarrollador/a front end,Gipuzkoa,2022-11-25,"['html', 'javascript', 'css', 'angularjs']",no disponible,24,2022-11-27
fullstack develop,Barcelona,2022-11-25,"['python', 'nodejs', 'mysql', 'php', 'css', 'javascript', 'html']",no disponible,6,2022-11-27
senior full-stack develop,Online,2022-11-25,"['python', 'vuejs', 'css', 'javascript', 'flask']",46500.0,7,2022-11-27
qa automatisatio,Île-de-france,2022-11-25,"['soapui', 'testlink', 'python', 'qa', 'git', 'sql', 'selenium', 'cucumber', 'jenkins', 'jira']",39000.0,0,2022-11-27
mantenimiento servidor linux,Valencia,2022-11-25,"['php', 'sevidores', 'linux']",27000.0,8,2022-11-27
remote c#/js develop,Online,2022-11-25,"['reactjs', 'c#', 'angularjs', 'vuejs', 'javascript', '.net']",no disponible,17,2022-11-27
programador/a sas,Online,2022-11-18,"['sql', 'excel', 'sas']",28500.0,7,2022-11-27
técnico senior de sistemas microsof,Madrid,2022-09-28,"['active directory', 'sql', 'dhcp', 'gpo', 'azure', 'dns']",no disponible,242,2022-11-27
programador/a junior pytho,Barcelona,2022-11-25,['python'],no disponible,35,2022-11-27
analista programador pytho,Madrid,2022-10-29,"['python', 'rest', 'soap', 'api']",no disponible,10,2022-11-27
it service desk engi,Gibraltar,2022-10-28,"['active directory', 'windows']",no disponible,13,2022-11-27
técnico senior helpdesk,Valencia,2022-09-30,"['helpdesk', 'active directory', 'windows']",no disponible,178,2022-11-27
analista de seguridad caja blanca,Madrid,2022-09-26,"['ciberseguridad', 'linux', 'windows']",no disponible,25,2022-11-27
técnico/a micro (junior con inglés),Madrid,2022-10-05,"['active directory', 'software', 'office', 'hardware']",no disponible,33,2022-11-27
it operations engi,Gibraltar,2022-10-28,"['terraform', 'veeam backup', 'go', 'python', 'ansible', 'elk', 'cp/ip', 'puppet', 'dhcp', 'shell scripting', 'dns', 'recovery', 'splunk']",no disponible,6,2022-11-27
analista programador .net/c# (en remoto),Álava,2022-10-28,"['ms office o365', '.net', 'sql server', 'microsoft visual studio', 'c#']",no disponible,16,2022-11-27
technical lead (remoto posible),Online,2022-10-02,"['java', 'bases de datos', 'arquitectura', 'gestion desarrollo de software', 'agile']",no disponible,52,2022-11-27
analista de integración de negocio it,Madrid,2022-11-04,"['soap', 'delphi', 'json', 'middleware', 'xml', 'api', 'java', 'vb', 'oracle']",no disponible,4,2022-11-27
experto/a en microstrategy,Online,2022-11-05,['microstrategy'],no disponible,14,2022-11-27
consultor sap sd,Madrid,2022-10-06,['sap'],no disponible,13,2022-11-27
consultor exp. microsoft system c,Online,2022-10-15,"['service manager', 'microsoft system center']",no disponible,14,2022-11-27
ing. telecomunicaciones/electrónico,Madrid,2022-09-30,"['sensores', 'rf', 'vhdl']",36000.0,26,2022-11-27
front-end developer robótica,Bizkaia,2022-09-28,"['ionic', 'javascript', 'angularjs']",no disponible,33,2022-11-27
perfil junior soporte n2 +inglés,Madrid,2022-11-17,"['citrix', 'soporte']",no disponible,7,2022-11-27
consultor/a de implantación atlassia,Madrid,2022-10-07,"['software', 'erp', 'implantacion', 'atlassian', 'itil', 'jira', 'consultoria', 'istqb']",33000.0,9,2022-11-27
técnico sistema unix hp-ux y linux,Online,2022-11-11,"['unix', 'administracion', 'linux', 'seguridad', 'hp ux', 'sistemas', 'redhat']",28500.0,91,2022-11-27
técnico/a microinformático (ingles b2),Madrid,2022-09-30,"['helpdesk', 'microinformatica']",no disponible,70,2022-11-27
desarrollador fullstack senior (nodejs),Madrid,2022-10-07,"['scrum', 'nodejs', 'angularjs', 'typescript', 'confluence', 'jira', 'javascript', 'agile']",37500.0,6,2022-11-27
arquitecto cloud (100%teletrabajo),Online,2022-11-13,['cloud'],no disponible,10,2022-11-27
senior react front end develop,Online,2022-10-27,"['reactjs', 'javascript', 'typescript']",no disponible,29,2022-11-27
administrador de sistemas senior storage,Madrid,2022-10-28,['storage'],no disponible,11,2022-11-27
programador/a pl/sql /100% remoto,Online,2022-11-11,"['oracle', 'pl/sql']",28500.0,46,2022-11-27
técnico informático,Zaragoza,2022-11-18,"['redes', 'informatica', 'microinformatica']",13500.0,12,2022-11-27
administrador/a aws,Barcelona,2022-10-09,"['aws', 'cloud']",no disponible,5,2022-11-27
técnico linux,Sevilla,2022-11-25,"['virtualizacion', 'linux', 'monitorizacion']",16000.0,8,2022-11-27
administrador sistemas linux-aws remoto,Online,2022-09-30,"['aws', 'linux']",no disponible,116,2022-11-27
desarrollo aplicaciones web it,Zaragoza,2022-11-11,"['linux', 'git', 'wordpress', 'mysql', 'php', 'javascript']",25500.0,17,2022-11-27
programador/a android,Online,2022-09-30,"['ios', 'android', 'cplusplus', 'kotlin']",31500.0,68,2022-11-27
operador aws cloud (remoto/teletrabajo),Online,2022-11-18,"['aws', 'cloud']",no disponible,9,2022-11-27
técnico/a de atención a usuarios,Bizkaia,2022-11-25,"['cau', 'sistemas', 'atencion a usuarios']",15500.0,19,2022-11-27
técnico de sistemas,Valencia,2022-10-06,"['san', 'linux', 'windows', 'hyper v', 'nfs', 'vmware', 'azure', 'iscsi']",no disponible,95,2022-11-27
técnico/a de redes y seguridad,Madrid,2022-09-26,"['redes', 'seguridad']",no disponible,55,2022-11-27
programador delphi,Online,2022-09-30,"['delphi', 'linux', 'windows']",30000.0,54,2022-11-27
técnico redes y comunicaciones,Madrid,2022-11-11,['redes'],27000.0,18,2022-11-27
programador/a nav/dynamics 365 (remoto),Albacete,2022-09-14,"['bc', 'al', 'nav', 'navision', 'dynamics']",no disponible,26,2022-11-27
analista programador/a java,Madrid,2022-11-18,"['java', 'oracle', 'spring']",30000.0,4,2022-11-27
técnico senior de redes y seguridad,Valencia,2022-09-30,"['procurve', 'cisco', 'aruba']",no disponible,69,2022-11-27
embedded c++ developer (drivers),Barcelona,2022-11-17,"['cplusplus', 'c', 'drivers']",39000.0,12,2022-11-27
ap .net core - react hasta 42k,Online,2022-10-28,"['reactjs', 'c#', 'visual studio', 'mvc', 'sql server', 'linq', '.net']",no disponible,22,2022-11-27
desarrollador/a c++(teletrabajo 100%),Online,2022-11-25,"['cplusplus', 'scripts', 'sql', 'postgresql', 'oracle']",no disponible,12,2022-11-27
qa tes,Online,2022-11-18,"['javascritp', 'postman', 'qa', 'selenium', 'tester']",42000.0,28,2022-11-27
dba mysql,Online,2022-10-21,"['oracle', 'mysql']",37500.0,32,2022-11-27
ingeniero de plataforma aws,Madrid,2022-11-18,['aws'],no disponible,7,2022-11-27
bigdata ia developer researcher (remote),Online,2022-09-30,"['python', 'java', 'iot', 'ia', 'cloudera', 'hadoop']",no disponible,103,2022-11-27
ing. electrónico diseño de radio,Madrid,2022-09-19,"['simulink', 'hw', 'vhdl', 'matlab']",51000.0,15,2022-11-27
analista programador microservicios,Online,2022-10-21,"['api', 'microservicios']",34500.0,7,2022-11-27
c++ software engi,Barcelona,2022-10-16,"['cplusplus', 'api']",no disponible,8,2022-11-27
desarrollador/a java springboo,Online,2022-10-01,"['java', 'spring']",22500.0,35,2022-11-27
desarrollador microservicios springboo,Online,2022-10-22,"['java', 'banca', 'spring', 'microservicios']",no disponible,9,2022-11-27
"técnico informático, sistemas o redes",Barcelona,2022-09-30,"['redes', 'sistemas']",no disponible,241,2022-11-27
analista programador c++ (híbrido),Barcelona,2022-10-07,"['linux', 'tcp/ip', 'cplusplus', 'mysql', 'postgresql', 'oracle']",37500.0,9,2022-11-27
técnico administrador (ci/cd) - git,Madrid,2022-09-30,"['ci cd', 'administracion', 'devops', 'git', 'scripting', 'sistemas']",31500.0,8,2022-11-27
administrador de redes cisco,Madrid,2022-10-14,"['redes', 'cisco', 'palo alto', 'fortinet']",no disponible,20,2022-11-27
desarrollador java back con viajes,Madrid,2022-10-27,"['sqlserver', 'kubernetes', 'mongdb', 'docker', 'java', 'mysql', 'oracle', 'spring']",43500.0,4,2022-11-27
desarrollador/a web,Madrid,2022-10-28,"['css', 'prestashop', 'javascript', 'woocommerce', 'html', 'magento']",21000.0,64,2022-11-27
desarrollador php moodl,Madrid,2022-10-16,"['php', 'laravel', 'symfony', 'moodle']",36000.0,28,2022-11-27
desarrollador/a java (perfil junior),A Coruña,2022-11-04,['java'],no disponible,43,2022-11-27
técnico informático,Cantabria,2022-11-18,"['informatica', 'soporte tecnico']",13500.0,10,2022-11-27
líder técnico / desarrollador frontend,Madrid,2022-10-09,"['webpack', 'reactjs', 'scrum', 'angularjs', 'git', 'typescript', 'jenkins', 'vuejs', 'confluence', 'javascript']",no disponible,11,2022-11-27
desarrollador/a ios,Madrid,2022-09-30,"['ios', 'mvp', 'mvvm']",30000.0,9,2022-11-27
prácticas desarrollo de softwa,Valencia,2022-09-30,"['java', 'nodejs', 'agile', '.net']",no disponible,154,2022-11-27
odi consulta,Valencia,2022-11-11,"['odi', 'pl/sql', 'oracle', 'qlik', 'obiee']",no disponible,13,2022-11-27
analista programador .net webservices,Madrid,2022-11-19,"['visual basic', 'sql', 'web api', 'windows forms', 'webservices', 'web forms', 'javascript', '.net']",no disponible,6,2022-11-27
consultor java/apis,Online,2022-11-18,"['java', 'api']",no disponible,5,2022-11-27
tech lead ingeniero fullstack angular +,Online,2022-11-13,"['metologia agile', 'nodejs', 'angularjs', 'sass', 'git', 'typescript', 'bff', 'jenkins', 'confluence', 'css', 'tdd', 'html']",no disponible,11,2022-11-27
technical lead senio,Online,2022-09-29,"['scrum', 'gestion', 'nodejs', 'angularjs', 'java', 'spring']",40500.0,31,2022-11-27
programador junior pl/sql (24x7),Online,2022-11-05,"['unix', 'pl/sql']",no disponible,64,2022-11-27
desarrollador back liferay java,Online,2022-11-20,"['java', 'liferay']",no disponible,5,2022-11-27
arquitecto redes lan/wan inglés,Madrid,2022-11-05,"['lan', 'wan', 'infraestructura', 'arquitectura', 'redes', 'cisco']",no disponible,9,2022-11-27
development & integration analys,Gibraltar,2022-10-28,"['unix', 'linux', 'python', 'bash', 'mysql', 'postgresql', 'oracle']",no disponible,2,2022-11-27
jefe de proyecto php / drupal,Sta. Cruz De Tenerife,2022-10-29,"['php', 'drupal']",no disponible,2,2022-11-27
consultor sap sd (lo-vc),Madrid,2022-09-30,"['lo vc', 'sap']",45000.0,15,2022-11-27
técnico micro informático,Barcelona,2022-11-18,"['instalacion', 'maquetado', 'soporte']",13500.0,23,2022-11-27
ingeniero/a telecomunicaciones,Madrid,2022-10-06,['telecomunicaciones'],39000.0,12,2022-11-27
devops,Online,2022-10-02,['devops'],51000.0,26,2022-11-27
programador/a senior java (teletrabajo),Online,2022-10-08,"['java', 'maven', 'java swing', 'postgresql', 'oracle', 'spring']",no disponible,21,2022-11-27
arquitecto de soluciones softwa,Online,2022-10-15,"['test unitarios', 'mongodb', 'kubernetes', 'test end to end', 'nodejs', 'docker', 'microservicios', 'typescript', 'azure', 'test integracion', 'tdd', 'graphql', 'jira', 'metodologias agile']",no disponible,15,2022-11-27
data scientist big data/ia/deep learni,Madrid,2022-11-17,"['python', 'spark', 'data', 'azure', 'nlp']",no disponible,11,2022-11-27
analista programador sr powerbuild,Madrid,2022-09-19,"['sql server', '.net', 'powerbuilder']",31500.0,19,2022-11-27
administrador/a elk  (100% remoto),Online,2022-11-25,"['python', 'ekl', 'yaml']",43500.0,9,2022-11-27
tag management specialis,Online,2022-11-17,"['marketing', 'google tag manager', 'tag manager', 'ga4', 'google analytics', 'google']",22500.0,13,2022-11-27
formador/a tic,Ourense,2022-11-06,"['capacitador', 'tic', 'ofimaticas']",no disponible,8,2022-11-27
programador/a plc y hmi,Barcelona,2022-09-28,"['plc', 'rockwell', 'hmi', 'omron', 'scada', 'siemens']",31500.0,54,2022-11-27
programador/a java teletrabajo,Madrid,2022-09-30,"['java', 'jenkins', 'spring', 'git']",no disponible,14,2022-11-27
desarrolladores android kotli,Online,2022-11-17,"['android', 'scrum', 'kotlin', 'git']",27000.0,89,2022-11-27
desarrolladores senior java,Online,2022-11-09,"['java', 'arquitectura hexagonal', 'cloud', 'microservicios']",no disponible,2,2022-11-27
técnico senior de sistemas microsof,Valencia,2022-09-30,"['active directory', 'microsoft']",no disponible,102,2022-11-27
frontend develop,Valencia,2022-11-10,"['reactjs', 'scrum', 'angularjs', 'vuejs', 'frontend']",no disponible,26,2022-11-27
desarrollador back java senio,Online,2022-08-26,"['aws', 'api', 'docker', 'java', 'sprinboot', 'microservicios', 'solid', 'spring']",no disponible,36,2022-11-27
ingeniero/a electrónico,Madrid,2022-09-26,"['fpga', 'matlab', 'dsp', 'datalinks', 'microprocesadores']",54000.0,22,2022-11-27
programador backend nodejs remoto,Barcelona,2022-11-25,"['nosql', 'nodejs', 'nestjs', 'sql', 'arquitecturas serverless']",43500.0,6,2022-11-27
program manager satellite ground segm,Madrid,2022-09-26,['pmp'],no disponible,7,2022-11-27
desarrollador java/web services,Madrid,2022-10-07,"['plsql', 'jsp', 'rmi', 'java', 'css', 'javascript']",no disponible,18,2022-11-27
administrador openshift/kubernetes,Online,2022-09-27,"['kubernetes', 'openshift']",no disponible,9,2022-11-27
técnico de microinformática,Cádiz,2022-11-11,"['software', 'hardware', 'microinformatica']",15000.0,44,2022-11-27
desarrollador senio,Las Palmas De Gran Canaria,2022-10-14,"['reactjs', 'symfony', 'angularjs', 'php', 'javascript']",33000.0,30,2022-11-27
desarrollador android,Madrid,2022-11-18,"['sql', 'android', 'sqlite']",no disponible,11,2022-11-27
helpdesk - office 365,Gipuzkoa,2022-11-11,"['helpdesk', 'office']",no disponible,13,2022-11-27
full stack develop,Alicante,2022-11-11,"['laravel', 'php', 'css', 'javascript', 'html']",no disponible,31,2022-11-27
ingeniero naval c++ embebido,Madrid,2022-11-18,"['cplusplus', 'ada']",31500.0,5,2022-11-27
técnico de atención a usuario-ventas,Bizkaia,2022-09-26,['office'],no disponible,42,2022-11-27
ingeniero de software con experiencia,Bizkaia,2022-11-05,"['sql server', '.net', 'c#']",no disponible,11,2022-11-27
ingeniero/a de redes (data center/lan),Madrid,2022-09-26,"['redes', 'seguridad', 'firewall']",no disponible,31,2022-11-27
programador abap,Online,2022-10-23,"['java', 'abap', 'sap']",no disponible,10,2022-11-27
qa automation engi,Online,2022-10-21,"['testerail', 'mongodb', 'testlink', 'qa', 'xray']",no disponible,20,2022-11-27
programador java senio,Madrid,2022-09-30,"['java', 'spring']",no disponible,21,2022-11-27
fullstack develop,Murcia,2022-09-29,"['sql', 'java', 'angularjs']",no disponible,14,2022-11-27
analista sas,Madrid,2022-10-27,"['microstrategy business intelligence', 'sas']",no disponible,14,2022-11-27
técnico/a de sistemas,Madrid,2022-11-18,"['sccm', 'active directory', 'windows']",no disponible,38,2022-11-27
desarrollador wso2,Barcelona,2022-11-19,"['swagger', 'raml', 'j2ee', 'api', 'blueprint']",37500.0,4,2022-11-27
programadores java - teletrabajo,Online,2022-09-30,"['java', 'spring', 'microservicios']",33000.0,164,2022-11-27
helpdesk - contact c,Barcelona,2022-11-04,"['helpdesk', 'hermes', 'vocalcom', 'contact center', 'inconcert']",no disponible,16,2022-11-27
analista de datos junior sas,Bizkaia,2022-11-18,"['sql', 'sas']",19500.0,29,2022-11-27
programador/a java senior (100% remoto),Online,2022-09-29,"['hibernate', 'java', 'oracle', 'spring']",no disponible,38,2022-11-27
frontend developer angula,Online,2022-10-07,"['javascript', 'angularjs']",no disponible,93,2022-11-27
formador/a - capacitador/a,Lugo,2022-11-17,"['tic', 'lms', 'formacion']",18000.0,12,2022-11-27
arquitecto .net,Madrid,2022-09-27,['.net'],49500.0,16,2022-11-27
desarrollador java back microservicios,Online,2022-11-04,"['java', 'pruebas', 'microservicios', 'api']",34500.0,9,2022-11-27
programador/a junior java,Madrid,2022-11-18,"['microservicios', 'sql', 'java', 'oracle sql', 'spring']",19500.0,47,2022-11-27
business consultant microsoft/opensourc,Barcelona,2022-10-23,"['microsoft', 'opensource']",no disponible,5,2022-11-27
java develop,Murcia,2022-09-27,"['java', 'spring', 'microservicios']",no disponible,65,2022-11-27
arquitecto azure devops remoto,Online,2022-11-18,"['terraform', 'devops', 'architect', 'arquitecto', 'azure']",54000.0,10,2022-11-27
fullstack develop,Valencia,2022-09-30,"['sql', 'java', 'front end', 'angularjs']",no disponible,34,2022-11-27
full stack develop,Valencia,2022-10-28,"['aws', 'flutter', 'python', 'nodejs', 'bbdd', 'testing', 'api', 'angularjs', 'postgresql']",31500.0,15,2022-11-27
administrador middleware (100% remoto),Online,2022-10-28,"['weblogic', 'middleware']",no disponible,9,2022-11-27
programador/a .n,Madrid,2022-09-30,"['c#', '.net']",no disponible,28,2022-11-27
java (spring boot) develop,Madrid,2022-11-13,"['linux', 'j2ee', 'java', 'mysql', 'postgresql', 'spring']",no disponible,22,2022-11-27
técnico monitorización servicenow,Madrid,2022-09-29,['servicenow'],22500.0,31,2022-11-27
analista programador bbdd (inglés b2),Madrid,2022-11-17,"['unix', 'filezilla', 'balanceadores', 'exadata', 'weblogic', 'dynatrace', 'dhcp', 'vpn', 'dns', 'oracle']",no disponible,2,2022-11-27
